num,label,duration,peak freq(max),min_freq(max),max_freq(max),entropy_(max),peak freq(mean),min_freq(mean) ,max_freq(mean) ,entropy_(mean),call,call_type,Filename
1,1,0.0634,46800,44400,48800,0.401,46800,21900,81000,0.688,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
2,2,0.1177,61500,50200,70300,0.587,59500,7800,83000,0.711,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
3,3,0.1049,11200,9200,13600,0.306,10200,8300,17500,0.586,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
4,4,0.0455,11200,8700,14100,0.414,10700,8700,18000,0.663,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
5,5,0.0803,10700,9200,12600,0.394,10700,8300,17000,0.674,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
6,6,0.0138,10200,8700,12600,0.326,10200,4300,13600,0.522,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
7,7,0.0517,50700,45800,61000,0.443,50700,38500,77100,0.646,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
8,8,0.1013,58500,38500,63400,0.608,42900,25300,81000,0.674,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
9,9,0.0803,10200,8700,12200,0.401,10700,7800,15100,0.611,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
10,10,0.0752,10200,8700,14100,0.552,10200,7800,15100,0.635,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
11,11,0.0732,55600,37100,62900,0.583,48300,26300,76600,0.645,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
12,12,0.0875,12200,10700,14100,0.409,36100,7800,79500,0.695,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
13,13,0.086,12200,10700,14100,0.422,11700,7800,83400,0.719,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\14_982091068556664_m.wav
1,1,0.384,10200,8300,12200,0.428,10200,5300,16100,0.591,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\27_982091068541770_m.wav
2,2,0.1689,11200,9700,13100,0.182,10700,8700,16100,0.383,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\27_982091068541770_m.wav
3,3,0.0757,10700,9200,12600,0.179,10700,8700,14600,0.293,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\27_982091068541770_m.wav
1,1,0.3696,17500,16100,20000,0.406,17000,4800,73700,0.718,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
2,2,0.2129,18000,14600,20900,0.509,16600,6800,62000,0.619,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
3,3,0.2677,13600,10700,20900,0.546,17000,5300,74700,0.708,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
4,4,0.32,33200,31700,39000,0.632,17500,4300,79500,0.742,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
5,5,0.2432,15100,13600,17000,0.44,15100,3900,73200,0.737,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
6,6,0.0307,13600,11700,17500,0.501,14600,3900,25800,0.759,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
7,7,0.1433,13100,11200,15600,0.306,14100,6300,19500,0.664,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
8,8,0.0962,14600,13100,17000,0.377,15100,3900,21900,0.722,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
9,9,0.0138,15600,13600,17500,0.418,15600,6300,18500,0.543,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
10,10,0.0977,13100,11700,15100,0.227,13100,7300,21900,0.48,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
11,11,0.2257,54600,51700,57100,0.595,59000,3900,87400,0.769,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
12,12,0.1469,34600,28800,37100,0.645,14600,4300,81000,0.741,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
13,13,0.1418,28800,26800,31200,0.391,14600,3900,83000,0.754,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
14,14,0.1551,30700,28300,32700,0.365,30200,10200,69300,0.648,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
15,15,0.0931,43400,42400,45800,0.561,31200,3900,74200,0.685,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
16,16,0.1367,48800,41500,51200,0.524,45400,3400,61500,0.693,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
17,17,0.0655,17000,12200,20000,0.6,17000,4300,61000,0.662,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\41_982091068546717_m.wav
1,1,0.217,19500,12600,22400,0.564,19000,6800,84400,0.75,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\56_982091068546717_m.wav
2,2,0.1674,18500,7800,20500,0.597,18500,6800,74200,0.716,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\56_982091068546717_m.wav
1,1,0.2099,14000,7800,18700,0.324,12500,6200,28900,0.559,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\211_982091068535013_f.wav
1,1,0.0647,13600,6800,31200,0.476,12600,3900,46800,0.568,1,Distress,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\213_982091068535013_f.wav
