ExperimentID,Audio,Type_interaction,SumTime_Distress,Exp_Time,ID_focal,ID_intruso,Checkleaf,Checkleaf2,ENTER OUT,ENTEROUT2
28 F,50,focal,0.3741,312.92,5,10,1,si,0,no
28 FI,51,near,6.2527,128.63,5,10,1,si,0,no
29F,52,focal,0,67.47,13,14,0,no,0,no
29FI,53,near,0,300,13,14,1,si,1,si
30F,54,focal,0.276,282.3,10,5,1,si,0,no
30FI,55,near,0.2966,319.2,10,5,1,si,1,si
31F,56,focal,2.6061,331.25,10,14,1,si,0,no
31FI,57,far,0.3663,312.1,10,14,1,si,1,si
32 F,58,focal,0,362.32,3,11,0,no,0,no
32FI,59,near,2.2991,102.8,3,11,0,no,0,no
33F,60,focal,0,131.63,1,15,0,no,0,no
33FI,61,near,0,60.15,1,15,0,no,0,no
34F,62,focal,0,272.74,11,9,0,no,0,no
34FI,63,far,2.6225,309.9,11,9,1,si,1,si
35F,64,focal,0,53.9,15,1,0,no,0,no
35FI,65,near,4.8041,300,15,1,0,no,1,si
36F,66,focal,0,320.7,11,3,1,si,0,no
36FI,67,near,0.8471,304.8,11,3,0,no,1,si
38F,70,focal,0,30,7,17,1,si,0,no
38FI,72,far,0,123.76,7,17,1,si,0,no
39F,73,focal,0,179,8,7,0,no,0,no
39FI,74,near,3.8355,308.32,8,7,0,no,0,no
40F,75,focal,0,100,8,16,1,si,1,si
40FI,76,far,6.1633,116,8,16,1,si,1,si
41F,77,focal,0,280,7,8,0,no,0,no
41FI,78,near,4.2608,299.75,7,8,1,si,1,si
42F,79,focal,0,310,9,20,1,si,1,si
42FI,81,far,1.2853,320,9,20,1,si,1,si
43F,83,focal,0,84,2,12,1,si,0,no
43FI,84,near,9.6889,107,2,12,0,no,0,no
44F,85,focal,0,310,4,5,0,no,1,si
44FI,86,near,0.0849,315,5,4,1,si,1,si
45F,87,focal,0,308,1,18,1,si,1,si
45FI,88,far,4.8779,273,1,18,1,si,1,si
46F,89,focal,0,315,2,5,1,si,1,si
46FI,90,far,0.7654,326,2,5,1,si,0,no
47F,91,focal,0,98,12,18,1,si,1,si
47FI,92,far,0,303,12,18,0,no,0,no
48F,94,focal,0,82,6,19,1,si,1,si
48Fl,95,far,0,302,6,19,0,no,0,no
49F,96,focal,0,92,3,9,1,si,0,no
49FI,97,far,0.553,301,3,9,0,no,0,no
50F,98,focal,0,300,6,3,1,si,1,si
50FI,99,near,0.6626,292,6,3,1,si,0,no
51F ,100,focal,0,293,13,5,1,si,1,si
51FI,101,far,1.2799,302,13,5,1,si,1,si
52F,102,focal,0,300,14,7,1,si,1,si
52FI,103,far,14.3125,303,14,7,1,si,0,no
53F,104,focal,0,310,5,14,1,si,1,si
53FI,106,far,1.6655,315,5,14,1,si,0,no
54F,107,focal,0,273,14,13,1,si,1,si
54FI,108,near,4.0874,320,14,13,1,si,0,no
55F,109,focal,0,306,9,7,1,si,1,si
55FI,110,near,13.6043,305,9,7,1,si,1,si
