ExperimentID,Audio,Type_interaction,SumTime_Distress,Exp_Time,Distres_Time_s,ID_focal,ID_intruso,Nuvoc,voc
31FI,57,far,0.3663,312.1,0.001173662,10,14,7,1
34FI,63,far,2.6225,309.9,0.008462407,11,9,5,1
38FI,72,far,0,123.76,0,7,17,0,0
40FI,76,far,6.1633,116,0.053131897,8,16,6,1
42FI,81,far,1.2853,320,0.004016563,9,20,3,1
45FI,88,far,4.8779,273,0.017867766,1,18,12,1
46FI,90,far,0.7654,326,0.002347853,2,5,3,1
47FI,92,far,0,303,0,12,18,0,0
48Fl,95,far,0,302,0,6,19,0,0
49FI,97,far,0.553,301,0.001837209,3,9,12,1
51FI,101,far,1.2799,302,0.004238079,13,5,4,1
52FI,103,far,14.3125,303,0.047235974,14,7,69,1
53FI,106,far,1.6655,315,0.005287302,5,14,3,1
28 F,50,focal,0.3741,312.92,0.001195513,5,10,3,1
29F,52,focal,0,67.47,0,13,14,0,0
30F,54,focal,0.276,282.3,0.000977683,10,5,1,1
31F,56,focal,2.6061,331.25,0.007867472,10,14,11,1
32 F,58,focal,0,362.32,0,3,11,0,0
33F,60,focal,0,131.63,0,1,15,0,0
34F,62,focal,0,272.74,0,11,9,0,0
35F,64,focal,0,53.9,0,15,1,0,0
36F,66,focal,0,320.7,0,11,3,0,0
38F,70,focal,0,30,0,7,17,0,0
39F,73,focal,0,179,0,8,7,0,0
40F,75,focal,0,100,0,8,16,0,0
41F,77,focal,0,280,0,7,8,0,0
42F,79,focal,0,310,0,9,20,0,0
43F,83,focal,0,84,0,2,12,0,0
44F,85,focal,0,310,0,4,5,0,0
45F,87,focal,0,308,0,1,18,0,0
46F,89,focal,0,315,0,2,5,0,0
47F,91,focal,0,98,0,12,18,0,0
48F,94,focal,0,82,0,6,19,0,0
49F,96,focal,0,92,0,3,9,0,0
50F,98,focal,0,300,0,6,3,0,0
51F ,100,focal,0,293,0,13,5,0,0
52F,102,focal,0,300,0,14,7,0,0
53F,104,focal,0,310,0,5,14,0,0
54F,107,focal,0,273,0,14,13,0,0
55F,109,focal,0,306,0,9,7,0,0
28 FI,51,near,6.2527,128.63,0.048609967,5,10,21,1
29FI,53,near,0,300,0,13,14,0,0
30FI,55,near,0.2966,319.2,0.000929198,10,5,8,1
32FI,59,near,2.2991,102.8,0.022364786,3,11,11,1
33FI,61,near,0,60.15,0,1,15,0,0
35FI,65,near,4.8041,300,0.016013667,15,1,15,1
36FI,67,near,0.8471,304.8,0.002779199,11,3,10,1
39FI,74,near,3.8355,308.32,0.012439997,8,7,6,1
41FI,78,near,4.2608,299.75,0.014214512,7,8,14,1
43FI,84,near,9.6889,107,0.090550467,2,12,49,1
44FI,86,near,0.0849,315,0.000269524,5,4,0,1
50FI,99,near,0.6626,292,0.002269178,6,3,1,1
54FI,108,near,4.0874,320,0.012773125,14,13,13,1
55FI,110,near,13.6043,305,0.044604262,9,7,43,1
